Com_Sp_lst,Species,Syn,M1a,M2a,M3a,M4a,M5a,M6a,M7a,M8a,M9a,M10a,M11a,M12a,M13a,T1a,T2a,T3a,T4a,T5a,T6a,T7a,T8a,T9a,T10a,T11a,T12a,T13a,T14a,T15a,T16a,T17a,M1b,M2b,M3b,M4b,M5b,M6b,M7b,M8b,M9b,M10b,M11b,M12b,M13b,T1b,T2b,T3b,T4b,T5b,T6b,T7b,T8b,T9b,T10b,T11b,T12b,T13b,T14b,T15b,T16b,T17b
Cymbella reinhardtii,NA,NA,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Cymbella silesiaca,Encyonema silesiacum,NA,1,1,2,6,,1,,,1,,,2,1,1,,,1,,,,,,,,,,5,1,2,2,1,,,13,,1,3,1,1,,1,,1,5,,2,3,,,,,,,,2,,10,,2,
Cymbella thienemanii,Cymbella thienemanii,Encyonema thienemanii,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Cymbella tumida,Cymbella tumida,NA,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
Cymbella turgidula,Cymbella turgidula,NA,,,2,,6,1,,1,,,,,,,,2,13,,2,3,,,,,,,,,1,,,,1,,1,2,,,3,1,,,,,,,2,,,,,,,,4,1,1,,,
Cymbella turgidula var. nipponica,Cymbella rheophila,NA,7,,43,3,15,3,7,5,1,1,,,1,4,,7,8,1,2,9,1,,,,1,,3,1,,,,,,,11,1,3,,2,,1,,1,2,1,7,18,,1,3,,,,,10,2,4,,6,
Denticula tenuis,NA,NA,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,
Diatoma moniliformis,Diatoma moniliformis,NA,,,,1,,,1,,1,1,,,,1,,,1,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,3,3,,,,,,,,,,,,,
Diatoma vulgaris,Diatoma vulgaris,NA,1,,3,,,,,,1,,1,,,2,,2,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,8,12,,,,1,,1,1,7,,,,5,
Diploneis elliptica,Diploneis elliptica,NA,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploneis pseudovalis,Diploneis pseudovalis,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploneis subovalis,Diploneis subovalis,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encyonema caespitosum,Encyonema caespitosum,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Encyonema lange-bertalotii,Encyonema lange-bertalotii,NA,,,,,,,,,1,,1,,,,,,,,,,,,,,,2,,,1,,1,,1,,,1,1,,1,,,,,1,,,,,,,,,,,2,,,,,
Encyonema ventricosum,Encyonema ventricosum,NA,,,,1,,,,1,,1,,,,3,,2,3,,1,,,,,,,,,2,,,,,,,3,,,2,,,,,,3,,9,3,,,,,,,,,,,,,
Encyonopsis microcephala,Encyonopsis minuta,Cymbella microcephala,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Epithemia adnata,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragilaria capitellata,Fragilaria capitellata,Could be Fragilaria vaucheirae,,,,,,,,,,,,,,,,2,4,,,,,,,,1,,4,,,,,,,,,,1,,,,,,,1,,1,4,,,,,,,,26,1,11,,7,1
Fragilaria capucina,Fragilaria capucina,NA,5,,2,,,2,2,,1,,,,,13,,,,1,,1,1,,,,,1,1,,,,,,2,2,,2,1,,2,,,2,1,24,,,,,,6,1,,,,4,,,,9,1
Fragilaria capucina var. gracilis,Fragilaria capucina var. gracilis,Fragilaria parva,2,2,,,,,1,2,,,4,1,,1,,2,,,,1,1,,1,,,,1,,,1,,,,,,,,,,,,,2,,,1,2,,,1,,,,,1,,5,,7,1
Fragilaria capucina var. mesolepta,Fragilaria capucina var. mesolepta,NA,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,1,,,,,,,,,,,,,1,
Fragilaria capucina var. rumpens,Fragilaria capucina var. rumpens,F. rumpens,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Fragilaria capucina var. vaucheriae,Fragilaria vaucheriae,Fragilaria capucina var. vaucheriae,,,,,,2,1,,,,1,3,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,,1,,,,2,,2,
Fragilaria construens,Staurosira construens,Staurosira construens var. construens,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Fragilaria construens f. binodis,Staurosira construens var. binodis,Fragilaria construens var.binodis Pseudostaurosira robusta,215,5,2,,,1,,1,2,1,2,,,4,,,,,,,,,1,,1,,2,,,,325,,,,,,,,,1,,,,2,,,,,,,,,,,,6,1,,2,1
Fragilaria construens f. venter,Staurosira venter,Staurosira construens var.venter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragilaria crotonensis,Fragilaria crotonensis,Might have been confused with Synedra delicatissima,1,,,,,,,,4,,,1,,2,,,,,,,,,,,,,,,,,9,,,,,2,,,2,,,1,,4,,,,,,,,,,,,,,,,
Fragilaria delicatissima,Synedra delicatissima,Fragilaria delicatissima,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,
Fragilaria elliptica,Staurosira elliptica,Pseudostaurosira elliptica,12,3,5,3,6,9,6,11,63,17,5,6,2,12,,,1,3,11,17,1,,38,50,5,1,2,11,22,58,5,,2,3,2,6,5,,19,28,3,,6,9,5,,,,3,15,1,2,58,52,6,,5,,34,8
Fragilaria famelica,Fragilaria famelica,Synedra minuscule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragilaria fasciculata,Tabularia fasciculata,NA,3,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragilaria pinnata,Punctastriata ovalis,NA,,4,2,,,7,1,,,2,,,,5,,1,,,7,6,,,,,4,1,2,,,3,1,,,2,,4,1,,,1,,,,6,,1,1,,4,3,,,,1,,,1,,,
Fragilaria pulchella,Fragilaria pulchella,Ctenophora pulchella,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
Fragilaria radians,Fragilaria capucina var. radians,Fragilaria radians,,,,,1,,,2,,,2,9,2,5,,2,3,1,,1,,,,1,,,2,2,1,,1,1,,1,,,1,6,3,,1,1,3,10,,1,,,,3,,,,,4,,3,,8,1
Fragilaria ulna,Synedra ulna,Ulnaria ulna,,,,,,,1,3,1,,6,6,3,2,,,,,,2,,,,,,,1,,,,,,,,,,1,,3,,2,,,,,,,,,,,,,,1,,5,,3,
